id,student,task,solved,start,end,time_spent
2830,8849,76,True,2018-01-24T11:29:19.471596Z,2018-01-24T11:29:56.316633Z,36
2851,8845,65,False,2018-01-24T12:42:55.682631Z,2018-01-24T12:47:27.760833Z,272
2823,8851,67,True,2018-01-24T11:27:38.927897Z,2018-01-24T11:28:03.444211Z,24
2852,8845,45,False,2018-01-24T13:28:06.862361Z,2018-01-24T13:28:06.862381Z,0
2804,8858,57,True,2018-01-24T11:20:57.838453Z,2018-01-24T11:22:08.657828Z,70
2820,8849,11,True,2018-01-24T11:26:13.637615Z,2018-01-24T11:28:05.208081Z,111
2849,8860,18,False,2018-01-24T11:57:11.012239Z,2018-01-24T11:57:49.207363Z,38
2839,8851,6,True,2018-01-24T11:31:24.084467Z,2018-01-24T11:32:15.802358Z,51
2853,8845,40,False,2018-01-24T13:29:49.272038Z,2018-01-24T13:30:35.698112Z,46
2859,8863,39,False,2018-01-24T16:48:10.081140Z,2018-01-24T17:00:40.037818Z,749
2818,8858,11,True,2018-01-24T11:26:08.467442Z,2018-01-24T11:26:32.180555Z,23
2870,8869,51,True,2018-01-25T08:01:39.705458Z,2018-01-25T08:01:50.875826Z,11
2835,8851,44,True,2018-01-24T11:30:12.722035Z,2018-01-24T11:30:22.919621Z,10
2844,8860,44,True,2018-01-24T11:52:37.410473Z,2018-01-24T11:53:49.256700Z,71
2832,8856,11,True,2018-01-24T11:29:46.361250Z,2018-01-24T11:30:31.240512Z,44
2840,8851,12,True,2018-01-24T11:32:22.615461Z,2018-01-24T11:32:37.966536Z,15
2845,8860,26,True,2018-01-24T11:53:57.641237Z,2018-01-24T11:54:14.813461Z,17
2861,8865,26,True,2018-01-24T21:20:21.719265Z,2018-01-24T21:21:30.329505Z,68
2834,8849,73,True,2018-01-24T11:30:06.543832Z,2018-01-24T11:32:51.658971Z,165
2854,8861,31,True,2018-01-24T14:07:36.422378Z,2018-01-24T14:09:06.664486Z,90
2862,8865,14,True,2018-01-24T21:21:36.091660Z,2018-01-24T21:21:58.424614Z,22
2883,8869,25,True,2018-01-25T08:02:20.995179Z,2018-01-25T08:02:29.785213Z,8
2904,8867,2,True,2018-01-25T08:03:20.557901Z,2018-01-25T08:03:42.406518Z,21
2876,8874,67,True,2018-01-25T08:02:00.988047Z,2018-01-25T08:03:48.420370Z,107
2910,8877,2,True,2018-01-25T08:03:37.397093Z,2018-01-25T08:03:55.240495Z,17
2865,8865,80,False,2018-01-24T21:24:34.434125Z,2018-01-24T21:28:28.239595Z,233
2884,8881,51,True,2018-01-25T08:02:22.193615Z,2018-01-25T08:03:19.841626Z,57
2898,8868,86,True,2018-01-25T08:03:10.994883Z,2018-01-25T08:03:34.124536Z,23
2871,8867,44,True,2018-01-25T08:01:47.754957Z,2018-01-25T08:02:18.304592Z,30
2889,8871,86,True,2018-01-25T08:02:40.624409Z,2018-01-25T08:03:05.016092Z,24
2873,8871,44,True,2018-01-25T08:01:51.761061Z,2018-01-25T08:02:33.376808Z,41
2911,8868,49,True,2018-01-25T08:03:38.809436Z,2018-01-25T08:04:00.371485Z,21
