id,name
1,env.space-world
2,env.toolbox
3,env.snapping
4,env.controls
5,env.task-editor
6,object.asteroid
7,object.meteoroid
8,object.diamond
9,object.wormhole
10,diamonds-status
11,energy-status
12,length-limit
13,block.fly
14,block.shoot
15,block.repeat
16,block.while
17,block.color
18,block.position
19,block.if
20,block.if-else
